timestamp,session_id,circle_x,circle_y,cursor_x,cursor_y,spawn_time,hit_time,reaction_time_ms,spatial_accuracy,temporal_accuracy,hit_result,score,combo,difficulty_level
2025-01-01T14:00:15.123,paciente_actual_osu_rhythm_20250101_140000,200,150,195,155,1735742415123,1735742415623,500,87.5,75.0,GOOD,100,1,1
2025-01-01T14:00:18.456,paciente_actual_osu_rhythm_20250101_140000,350,300,340,310,1735742418456,1735742418856,400,92.3,85.5,PERFECT,300,2,1
2025-01-01T14:00:21.789,paciente_actual_osu_rhythm_20250101_140000,500,200,515,195,1735742421789,1735742422389,600,78.1,65.2,NORMAL,50,3,1
2025-01-01T14:00:25.123,paciente_actual_osu_rhythm_20250101_140000,150,400,145,405,1735742425123,1735742425523,400,95.7,88.9,PERFECT,300,4,1
2025-01-01T14:00:28.456,paciente_actual_osu_rhythm_20250101_140000,650,350,665,340,1735742428456,1735742428756,300,89.4,92.1,PERFECT,300,5,1
2025-01-01T14:00:31.789,paciente_actual_osu_rhythm_20250101_140000,300,100,285,115,1735742431789,1735742432489,700,82.6,58.3,NORMAL,50,6,2
2025-01-01T14:00:35.123,paciente_actual_osu_rhythm_20250101_140000,450,450,460,435,1735742435123,1735742435423,300,91.8,89.7,PERFECT,300,7,2
2025-01-01T14:00:38.456,paciente_actual_osu_rhythm_20250101_140000,100,250,110,240,1735742438456,1735742439056,600,85.9,70.4,GOOD,100,8,2
2025-01-01T14:00:41.789,paciente_actual_osu_rhythm_20250101_140000,700,150,685,165,1735742441789,1735742442089,300,93.2,94.6,PERFECT,300,9,2
2025-01-01T14:00:45.123,paciente_actual_osu_rhythm_20250101_140000,250,350,275,330,1735742445123,1735742445923,800,76.4,45.2,MISS,0,0,2
2025-01-01T14:00:48.456,paciente_actual_osu_rhythm_20250101_140000,550,250,545,255,1735742448456,1735742448756,300,96.8,91.3,PERFECT,300,1,2
2025-01-01T14:00:51.789,paciente_actual_osu_rhythm_20250101_140000,400,500,420,485,1735742451789,1735742452189,400,88.7,82.7,GOOD,100,2,2
2025-01-01T14:00:55.123,paciente_actual_osu_rhythm_20250101_140000,200,200,195,205,1735742455123,1735742455423,300,97.1,95.8,PERFECT,300,3,2
2025-01-01T14:00:58.456,paciente_actual_osu_rhythm_20250101_140000,600,400,610,390,1735742458456,1735742458856,400,90.5,87.4,PERFECT,300,4,3
2025-01-01T14:01:01.789,paciente_actual_osu_rhythm_20250101_140000,350,150,340,160,1735742461789,1735742462089,300,92.6,93.2,PERFECT,300,5,3
2025-01-01T14:01:05.123,paciente_actual_osu_rhythm_20250101_140000,150,350,165,335,1735742465123,1735742465523,400,86.3,79.8,GOOD,100,6,3
2025-01-01T14:01:08.456,paciente_actual_osu_rhythm_20250101_140000,500,300,485,315,1735742468456,1735742468756,300,89.7,96.1,PERFECT,300,7,3
2025-01-01T14:01:11.789,paciente_actual_osu_rhythm_20250101_140000,300,450,320,440,1735742471789,1735742472289,500,88.1,74.5,GOOD,100,8,3
2025-01-01T14:01:15.123,paciente_actual_osu_rhythm_20250101_140000,700,200,680,220,1735742475123,1735742475423,300,94.4,91.7,PERFECT,300,9,3
2025-01-01T14:01:18.456,paciente_actual_osu_rhythm_20250101_140000,250,500,255,485,1735742478456,1735742478656,200,98.2,97.8,PERFECT,300,10,3 
